member_id,member_code,first_name,last_name,age,location_id,plan_id,acquisition_channel,join_date,cancel_date,status
1,M00001,Zeynep,Celik,31,3,3,Referral,2024-07-29,,Active
2,M00002,Ayse,Ozdemir,33,4,2,Instagram,2025-11-20,,Active
3,M00003,Ece,Kaya,32,3,3,Organic Search,2024-03-06,2026-02-03,Cancelled
4,M00004,Ayse,Aydin,26,2,2,Organic Search,2024-01-04,,Active
5,M00005,Derya,Yilmaz,36,3,1,Instagram,2024-04-25,,Active
6,M00006,Selin,Yilmaz,27,2,3,Walk-in,2024-08-26,,Active
7,M00007,Zeynep,Kurt,34,2,1,Referral,2024-01-02,,Active
8,M00008,Ece,Koc,35,2,1,Paid Search,2024-10-26,2026-02-03,Cancelled
9,M00009,Deniz,Ozdemir,30,4,1,Corporate Partner,2025-08-23,,Active
10,M00010,Emre,Koc,51,1,1,Referral,2026-06-15,2026-07-22,Cancelled
11,M00011,Kerem,Kurt,61,1,1,Referral,2024-07-28,2024-11-01,Cancelled
12,M00012,Ayse,Demir,46,4,1,Walk-in,2024-12-20,2026-04-21,Cancelled
13,M00013,Ceren,Koc,58,1,4,Organic Search,2024-04-10,,Active
14,M00014,Ceren,Kaya,44,3,1,Organic Search,2025-08-06,2026-07-30,Cancelled
15,M00015,Mert,Sahin,35,2,1,Walk-in,2025-04-21,2026-07-24,Cancelled
16,M00016,Kerem,Kaya,48,4,1,Referral,2024-08-03,,Active
17,M00017,Deniz,Demir,56,1,1,Walk-in,2024-08-02,2026-03-16,Cancelled
18,M00018,Ece,Aydin,45,3,3,Corporate Partner,2026-05-06,,Active
19,M00019,Ceren,Yilmaz,55,2,3,Instagram,2026-02-25,,Active
20,M00020,Ece,Kurt,46,1,4,Organic Search,2026-06-04,,Active
21,M00021,Zeynep,Aydin,62,2,1,Walk-in,2025-07-05,,Active
22,M00022,Ayse,Ozdemir,47,1,4,Referral,2026-03-15,,Active
23,M00023,Ayse,Sahin,42,1,1,Walk-in,2026-06-15,,Active
24,M00024,Can,Kurt,45,2,1,Paid Search,2025-10-18,,Active
25,M00025,Ece,Sahin,62,1,4,Instagram,2025-02-03,2025-06-15,Cancelled
26,M00026,Mert,Arslan,55,2,1,Referral,2024-06-21,,Active
27,M00027,Bora,Yilmaz,56,3,3,Walk-in,2024-06-07,,Active
28,M00028,Ceren,Kurt,61,3,1,Paid Search,2025-05-10,2026-04-29,Cancelled
29,M00029,Arda,Kaya,50,1,3,Walk-in,2025-10-21,,Active
30,M00030,Ceren,Demir,44,1,1,Paid Search,2026-01-29,,Active
31,M00031,Can,Sahin,49,2,4,Referral,2025-11-15,,Active
32,M00032,Derya,Aydin,57,1,4,Instagram,2025-11-18,,Active
33,M00033,Ayse,Kaya,54,2,1,Walk-in,2025-04-22,,Active
34,M00034,Ceren,Arslan,29,4,1,Organic Search,2024-02-16,2026-02-08,Cancelled
35,M00035,Zeynep,Demir,32,1,1,Instagram,2024-11-12,,Active
36,M00036,Kerem,Aydin,31,1,1,Referral,2024-08-15,,Active
37,M00037,Ayse,Aydin,39,2,1,Walk-in,2025-08-29,2025-12-03,Cancelled
38,M00038,Can,Kurt,18,3,2,Organic Search,2025-02-17,2025-09-14,Cancelled
39,M00039,Bora,Koc,45,2,1,Walk-in,2026-05-08,,Active
40,M00040,Derya,Kurt,44,4,1,Corporate Partner,2026-05-19,2026-06-25,Cancelled
41,M00041,Mert,Kurt,51,3,2,Walk-in,2026-01-29,,Active
42,M00042,Ceren,Celik,62,2,3,Walk-in,2024-10-02,,Active
43,M00043,Bora,Yilmaz,48,2,2,Referral,2025-12-03,,Active
44,M00044,Ayse,Kaya,19,1,4,Paid Search,2026-06-18,2026-07-28,Cancelled
45,M00045,Ayse,Ozdemir,63,3,4,Instagram,2025-04-09,,Active
46,M00046,Can,Aydin,45,2,3,Paid Search,2026-04-23,2026-06-07,Cancelled
47,M00047,Ceren,Kurt,24,1,2,Walk-in,2025-09-18,,Active
48,M00048,Arda,Koc,31,4,4,Walk-in,2026-02-05,2026-06-24,Cancelled
49,M00049,Emre,Demir,62,2,1,Referral,2025-09-28,,Active
50,M00050,Mert,Kurt,25,3,4,Organic Search,2026-01-17,2026-03-10,Cancelled
51,M00051,Zeynep,Yilmaz,32,4,4,Paid Search,2024-06-19,,Active
52,M00052,Bora,Kurt,42,1,1,Walk-in,2024-04-16,,Active
53,M00053,Kerem,Ozdemir,60,3,3,Referral,2025-03-26,,Active
54,M00054,Can,Sahin,36,1,1,Referral,2024-10-07,,Active
55,M00055,Elif,Koc,18,4,4,Corporate Partner,2026-03-03,,Active
56,M00056,Kerem,Yilmaz,47,1,4,Referral,2025-05-30,,Active
57,M00057,Arda,Arslan,44,2,4,Referral,2024-07-17,,Active
58,M00058,Emre,Kurt,18,1,1,Walk-in,2024-09-18,2026-03-29,Cancelled
59,M00059,Elif,Sahin,60,3,1,Referral,2024-07-20,,Active
60,M00060,Mert,Kurt,33,1,2,Paid Search,2025-12-30,,Active
61,M00061,Ece,Celik,61,1,1,Referral,2025-05-07,,Active
62,M00062,Ceren,Demir,33,3,1,Corporate Partner,2025-09-24,,Active
63,M00063,Kerem,Yilmaz,62,2,1,Organic Search,2026-04-26,2026-06-30,Cancelled
64,M00064,Ece,Aydin,46,2,4,Paid Search,2025-06-19,,Active
65,M00065,Deniz,Arslan,40,3,1,Organic Search,2025-03-03,2026-05-27,Cancelled
66,M00066,Zeynep,Kurt,21,1,1,Organic Search,2025-05-09,,Active
67,M00067,Ece,Koc,48,3,1,Instagram,2026-05-27,2026-06-29,Cancelled
68,M00068,Elif,Sahin,56,1,1,Organic Search,2025-11-10,,Active
69,M00069,Selin,Kaya,42,1,1,Referral,2024-02-13,,Active
70,M00070,Bora,Arslan,35,3,4,Organic Search,2026-04-25,2026-07-17,Cancelled
71,M00071,Ayse,Arslan,27,4,2,Corporate Partner,2024-06-14,,Active
72,M00072,Mert,Ozdemir,61,4,4,Organic Search,2025-09-07,,Active
73,M00073,Selin,Ozdemir,39,1,1,Walk-in,2026-05-22,2026-07-29,Cancelled
74,M00074,Elif,Yilmaz,27,1,2,Referral,2024-12-25,,Active
75,M00075,Derya,Aydin,52,1,1,Organic Search,2024-07-01,2025-08-07,Cancelled
76,M00076,Elif,Ozdemir,52,2,4,Walk-in,2024-05-25,2025-08-01,Cancelled
77,M00077,Ayse,Demir,64,4,1,Instagram,2025-08-30,,Active
78,M00078,Derya,Celik,48,2,3,Walk-in,2024-11-26,,Active
79,M00079,Can,Aydin,26,1,3,Walk-in,2025-11-05,,Active
80,M00080,Selin,Arslan,31,1,1,Instagram,2025-03-27,2026-05-04,Cancelled
81,M00081,Zeynep,Kaya,28,2,2,Walk-in,2024-11-06,,Active
82,M00082,Deniz,Celik,24,4,4,Paid Search,2026-06-21,,Active
83,M00083,Mert,Kurt,35,1,1,Referral,2024-08-17,2025-08-12,Cancelled
84,M00084,Ceren,Kurt,53,1,2,Organic Search,2025-07-25,,Active
85,M00085,Ceren,Sahin,44,1,1,Walk-in,2024-11-19,,Active
86,M00086,Kerem,Kurt,47,1,2,Referral,2024-09-09,,Active
87,M00087,Zeynep,Yilmaz,53,2,2,Walk-in,2025-04-02,,Active
88,M00088,Ayse,Sahin,61,4,3,Organic Search,2025-09-12,,Active
89,M00089,Arda,Arslan,26,3,2,Referral,2024-01-18,,Active
90,M00090,Derya,Koc,30,3,1,Walk-in,2025-06-29,2026-02-14,Cancelled
91,M00091,Kerem,Celik,46,1,3,Referral,2024-01-04,,Active
92,M00092,Mert,Kurt,63,2,1,Walk-in,2026-02-05,2026-06-24,Cancelled
93,M00093,Mert,Yilmaz,38,3,1,Organic Search,2024-07-19,,Active
94,M00094,Mert,Arslan,63,3,1,Referral,2024-03-15,,Active
95,M00095,Ceren,Kaya,26,1,4,Organic Search,2024-07-16,,Active
96,M00096,Derya,Celik,29,2,3,Walk-in,2026-05-14,,Active
97,M00097,Elif,Aydin,49,4,3,Paid Search,2026-01-23,,Active
98,M00098,Zeynep,Celik,58,4,1,Corporate Partner,2024-11-24,,Active
99,M00099,Zeynep,Demir,52,3,4,Instagram,2025-04-13,,Active
100,M00100,Ece,Kurt,44,3,3,Referral,2025-04-30,,Active
101,M00101,Ece,Yilmaz,30,2,4,Organic Search,2024-05-13,,Active
102,M00102,Mert,Demir,61,1,1,Walk-in,2024-11-07,2025-09-24,Cancelled
103,M00103,Ayse,Kaya,26,1,2,Referral,2024-10-04,2026-04-06,Cancelled
104,M00104,Mert,Demir,26,2,1,Referral,2024-07-14,,Active
105,M00105,Mert,Celik,34,1,4,Referral,2026-02-13,,Active
106,M00106,Kerem,Kurt,49,1,3,Paid Search,2024-08-12,,Active
107,M00107,Selin,Celik,23,2,3,Paid Search,2026-03-28,,Active
108,M00108,Mert,Arslan,50,1,4,Instagram,2025-12-20,2026-01-29,Cancelled
109,M00109,Derya,Ozdemir,25,3,3,Walk-in,2025-05-08,,Active
110,M00110,Deniz,Arslan,55,1,3,Referral,2024-11-16,,Active
111,M00111,Mert,Arslan,39,4,4,Referral,2024-11-01,2025-06-02,Cancelled
112,M00112,Derya,Arslan,47,2,4,Referral,2026-05-08,2026-06-28,Cancelled
113,M00113,Emre,Koc,25,3,3,Walk-in,2025-09-22,2026-06-20,Cancelled
114,M00114,Ayse,Kurt,29,2,2,Referral,2024-06-19,,Active
115,M00115,Ayse,Ozdemir,19,3,1,Instagram,2024-07-02,,Active
116,M00116,Can,Celik,42,4,2,Corporate Partner,2024-07-12,,Active
117,M00117,Ayse,Demir,25,2,3,Walk-in,2024-06-13,,Active
118,M00118,Selin,Yilmaz,49,3,3,Referral,2025-03-08,,Active
119,M00119,Ayse,Celik,24,1,3,Organic Search,2026-02-09,,Active
120,M00120,Bora,Ozdemir,31,2,2,Referral,2024-01-22,,Active
121,M00121,Ayse,Koc,47,2,4,Paid Search,2025-09-29,2025-11-03,Cancelled
122,M00122,Ceren,Sahin,44,2,2,Organic Search,2024-07-19,,Active
123,M00123,Zeynep,Sahin,40,3,1,Referral,2024-11-01,,Active
124,M00124,Can,Kurt,50,1,2,Instagram,2026-02-11,,Active
125,M00125,Emre,Yilmaz,43,1,4,Organic Search,2024-08-31,,Active
126,M00126,Can,Ozdemir,38,3,1,Instagram,2024-07-10,,Active
127,M00127,Derya,Aydin,59,1,2,Corporate Partner,2026-03-17,2026-06-19,Cancelled
128,M00128,Arda,Sahin,47,4,4,Instagram,2024-11-10,,Active
129,M00129,Deniz,Aydin,56,1,3,Organic Search,2026-04-17,,Active
130,M00130,Deniz,Ozdemir,58,1,2,Instagram,2025-07-20,2025-10-31,Cancelled
131,M00131,Deniz,Koc,32,2,4,Referral,2025-04-18,,Active
132,M00132,Selin,Celik,40,2,4,Walk-in,2025-04-20,,Active
133,M00133,Kerem,Ozdemir,46,3,2,Organic Search,2025-07-24,,Active
134,M00134,Derya,Demir,38,1,3,Walk-in,2024-07-20,,Active
135,M00135,Kerem,Demir,63,1,1,Instagram,2025-09-03,,Active
136,M00136,Can,Ozdemir,20,2,3,Walk-in,2024-02-17,,Active
137,M00137,Kerem,Arslan,35,1,2,Paid Search,2026-03-01,,Active
138,M00138,Emre,Kurt,56,2,4,Referral,2025-05-31,,Active
139,M00139,Mert,Ozdemir,31,2,1,Corporate Partner,2024-07-25,,Active
140,M00140,Bora,Koc,57,2,4,Corporate Partner,2025-02-16,2026-07-19,Cancelled
141,M00141,Arda,Sahin,47,3,3,Referral,2026-06-23,,Active
142,M00142,Bora,Kaya,27,3,4,Corporate Partner,2025-07-05,,Active
143,M00143,Emre,Ozdemir,29,2,1,Walk-in,2024-09-12,2025-09-04,Cancelled
144,M00144,Bora,Kurt,31,3,2,Instagram,2025-05-01,,Active
145,M00145,Arda,Kurt,54,4,3,Walk-in,2024-02-09,,Active
146,M00146,Zeynep,Kurt,41,2,4,Paid Search,2025-12-09,2026-07-14,Cancelled
147,M00147,Derya,Celik,18,2,1,Corporate Partner,2026-04-28,2026-06-19,Cancelled
148,M00148,Selin,Kurt,58,2,1,Organic Search,2025-05-25,,Active
149,M00149,Elif,Sahin,21,2,1,Instagram,2024-05-06,,Active
150,M00150,Emre,Sahin,54,1,3,Paid Search,2024-06-03,2026-01-05,Cancelled
151,M00151,Mert,Yilmaz,50,3,4,Walk-in,2025-02-15,2026-02-28,Cancelled
152,M00152,Selin,Kurt,36,1,1,Organic Search,2024-09-19,,Active
153,M00153,Selin,Aydin,38,2,2,Corporate Partner,2025-12-20,,Active
154,M00154,Ayse,Sahin,23,1,4,Instagram,2025-01-04,2025-06-27,Cancelled
155,M00155,Zeynep,Ozdemir,45,3,1,Referral,2024-04-19,,Active
156,M00156,Selin,Koc,45,2,2,Paid Search,2025-09-17,2026-03-01,Cancelled
157,M00157,Zeynep,Demir,36,1,2,Organic Search,2026-02-03,,Active
158,M00158,Deniz,Kurt,43,1,4,Walk-in,2024-01-26,,Active
159,M00159,Emre,Demir,56,1,1,Referral,2026-04-10,,Active
160,M00160,Emre,Koc,28,4,1,Instagram,2024-05-08,,Active
161,M00161,Arda,Yilmaz,41,1,3,Organic Search,2024-07-16,,Active
162,M00162,Mert,Kurt,57,1,2,Organic Search,2025-02-05,,Active
163,M00163,Elif,Celik,23,1,3,Instagram,2025-12-19,,Active
164,M00164,Selin,Kaya,44,2,1,Corporate Partner,2024-07-15,,Active
165,M00165,Arda,Celik,42,4,3,Walk-in,2024-12-11,,Active
166,M00166,Mert,Arslan,40,1,2,Instagram,2025-05-31,2025-11-09,Cancelled
167,M00167,Mert,Sahin,24,1,3,Corporate Partner,2025-08-08,,Active
168,M00168,Bora,Kaya,20,2,3,Corporate Partner,2024-10-15,,Active
169,M00169,Can,Celik,59,1,2,Corporate Partner,2025-09-10,2025-12-16,Cancelled
170,M00170,Can,Yilmaz,24,4,3,Paid Search,2026-03-31,,Active
171,M00171,Zeynep,Demir,26,2,3,Paid Search,2024-10-06,,Active
172,M00172,Bora,Koc,52,3,1,Referral,2024-11-07,2026-02-17,Cancelled
173,M00173,Bora,Koc,42,4,1,Organic Search,2024-02-20,,Active
174,M00174,Can,Sahin,53,1,3,Corporate Partner,2025-10-24,,Active
175,M00175,Deniz,Aydin,21,4,4,Instagram,2024-02-05,,Active
176,M00176,Ayse,Demir,30,2,1,Organic Search,2024-07-17,2024-12-21,Cancelled
177,M00177,Mert,Celik,26,3,1,Organic Search,2025-10-27,2026-01-06,Cancelled
178,M00178,Elif,Yilmaz,59,3,4,Referral,2025-06-06,,Active
179,M00179,Deniz,Koc,48,2,3,Referral,2025-08-25,2026-03-17,Cancelled
180,M00180,Selin,Celik,29,3,1,Organic Search,2024-04-13,2025-07-20,Cancelled
181,M00181,Ece,Sahin,46,2,1,Corporate Partner,2025-04-04,,Active
182,M00182,Arda,Kaya,42,1,1,Referral,2025-09-23,,Active
183,M00183,Can,Ozdemir,58,4,4,Paid Search,2026-02-28,2026-07-27,Cancelled
184,M00184,Selin,Arslan,34,4,1,Paid Search,2026-03-31,2026-06-08,Cancelled
185,M00185,Derya,Koc,34,2,4,Referral,2024-05-16,,Active
186,M00186,Ceren,Sahin,36,1,1,Organic Search,2024-11-28,2026-03-03,Cancelled
187,M00187,Can,Koc,28,1,2,Walk-in,2024-03-22,2024-12-31,Cancelled
188,M00188,Zeynep,Ozdemir,33,4,3,Organic Search,2025-04-17,,Active
189,M00189,Bora,Arslan,56,1,3,Walk-in,2024-11-21,,Active
190,M00190,Ece,Sahin,48,1,3,Walk-in,2025-05-11,,Active
191,M00191,Arda,Koc,33,1,2,Referral,2026-01-24,2026-07-25,Cancelled
192,M00192,Ceren,Arslan,37,3,2,Organic Search,2026-02-23,2026-05-06,Cancelled
193,M00193,Ayse,Arslan,21,2,1,Corporate Partner,2025-02-20,,Active
194,M00194,Emre,Kaya,30,2,2,Organic Search,2025-10-29,,Active
195,M00195,Ece,Sahin,23,4,2,Organic Search,2025-07-18,,Active
196,M00196,Ayse,Koc,51,2,1,Paid Search,2024-12-10,2026-07-02,Cancelled
197,M00197,Ceren,Demir,19,3,2,Walk-in,2024-12-23,2026-07-26,Cancelled
198,M00198,Kerem,Aydin,46,3,2,Paid Search,2024-07-06,,Active
199,M00199,Ceren,Ozdemir,45,1,4,Walk-in,2025-01-21,,Active
200,M00200,Kerem,Demir,22,2,3,Referral,2025-06-02,,Active
201,M00201,Ayse,Yilmaz,19,3,3,Walk-in,2024-08-13,2025-03-23,Cancelled
202,M00202,Bora,Ozdemir,61,1,3,Organic Search,2026-01-18,,Active
203,M00203,Zeynep,Arslan,38,3,4,Organic Search,2024-04-02,,Active
204,M00204,Ceren,Kaya,55,4,1,Organic Search,2024-05-09,,Active
205,M00205,Derya,Yilmaz,34,1,2,Corporate Partner,2025-07-08,,Active
206,M00206,Can,Sahin,22,1,2,Referral,2024-06-22,2025-08-16,Cancelled
207,M00207,Ece,Kurt,58,1,3,Organic Search,2025-10-18,,Active
208,M00208,Selin,Sahin,47,3,3,Referral,2026-03-26,,Active
209,M00209,Kerem,Celik,31,1,4,Referral,2024-07-19,,Active
210,M00210,Deniz,Ozdemir,45,3,3,Walk-in,2026-03-01,2026-04-16,Cancelled
211,M00211,Selin,Yilmaz,61,4,1,Referral,2024-03-24,,Active
212,M00212,Ceren,Celik,40,1,1,Organic Search,2024-12-05,,Active
213,M00213,Ece,Koc,35,2,3,Instagram,2024-09-21,,Active
214,M00214,Ece,Yilmaz,30,3,3,Organic Search,2025-07-27,,Active
215,M00215,Selin,Aydin,23,4,1,Referral,2025-06-08,2026-03-21,Cancelled
216,M00216,Deniz,Kurt,60,2,3,Paid Search,2026-06-09,,Active
217,M00217,Mert,Ozdemir,31,2,3,Instagram,2025-02-18,2025-08-02,Cancelled
218,M00218,Deniz,Koc,34,2,3,Corporate Partner,2025-07-01,,Active
219,M00219,Emre,Celik,56,2,3,Instagram,2024-12-25,,Active
220,M00220,Can,Aydin,20,3,1,Organic Search,2024-05-01,,Active
221,M00221,Mert,Yilmaz,64,1,1,Corporate Partner,2024-08-09,,Active
222,M00222,Emre,Demir,54,3,2,Paid Search,2025-02-09,,Active
223,M00223,Mert,Ozdemir,25,4,1,Walk-in,2024-01-26,2025-08-19,Cancelled
224,M00224,Emre,Arslan,52,2,1,Walk-in,2024-12-08,,Active
225,M00225,Selin,Kurt,33,1,3,Organic Search,2024-01-24,,Active
226,M00226,Ceren,Koc,49,3,3,Instagram,2025-07-22,,Active
227,M00227,Ece,Koc,26,1,3,Instagram,2025-02-12,,Active
228,M00228,Elif,Kaya,47,4,1,Corporate Partner,2024-06-02,,Active
229,M00229,Arda,Demir,42,1,4,Instagram,2025-07-12,,Active
230,M00230,Ece,Koc,51,4,3,Referral,2026-05-04,,Active
231,M00231,Mert,Koc,23,1,1,Referral,2025-05-05,,Active
232,M00232,Elif,Kaya,28,4,1,Referral,2024-07-19,,Active
233,M00233,Ayse,Demir,45,4,1,Referral,2025-11-26,,Active
234,M00234,Emre,Yilmaz,56,1,3,Referral,2025-01-17,,Active
235,M00235,Zeynep,Celik,60,4,2,Paid Search,2024-06-10,2025-05-10,Cancelled
236,M00236,Derya,Yilmaz,25,1,1,Instagram,2025-10-07,2026-07-21,Cancelled
237,M00237,Deniz,Celik,41,3,2,Paid Search,2025-03-08,,Active
238,M00238,Mert,Aydin,28,1,3,Organic Search,2025-06-09,,Active
239,M00239,Zeynep,Arslan,55,3,2,Corporate Partner,2026-05-13,,Active
240,M00240,Elif,Koc,58,1,2,Referral,2025-06-13,2025-08-05,Cancelled
241,M00241,Elif,Sahin,62,2,1,Organic Search,2026-04-17,2026-05-27,Cancelled
242,M00242,Mert,Kurt,27,3,1,Organic Search,2026-01-04,2026-02-23,Cancelled
243,M00243,Arda,Celik,59,2,3,Walk-in,2024-10-12,,Active
244,M00244,Mert,Sahin,42,2,1,Referral,2026-02-10,,Active
245,M00245,Ayse,Aydin,54,1,4,Paid Search,2024-10-21,,Active
246,M00246,Can,Kaya,27,2,4,Organic Search,2024-08-15,,Active
247,M00247,Ceren,Arslan,52,1,1,Instagram,2024-07-31,,Active
248,M00248,Kerem,Sahin,32,3,3,Walk-in,2025-12-28,,Active
249,M00249,Mert,Celik,64,2,3,Corporate Partner,2024-10-29,,Active
250,M00250,Mert,Ozdemir,26,2,3,Referral,2024-04-27,,Active
251,M00251,Kerem,Kurt,48,2,1,Instagram,2025-07-08,2025-10-15,Cancelled
252,M00252,Ceren,Yilmaz,29,2,3,Referral,2025-03-26,,Active
253,M00253,Derya,Sahin,24,4,3,Referral,2024-11-19,,Active
254,M00254,Selin,Demir,20,2,3,Instagram,2024-08-21,,Active
255,M00255,Arda,Kurt,56,1,1,Paid Search,2024-06-29,,Active
256,M00256,Ece,Koc,37,3,1,Referral,2025-07-14,,Active
257,M00257,Emre,Demir,43,3,3,Organic Search,2025-01-21,,Active
258,M00258,Ceren,Sahin,18,3,3,Corporate Partner,2025-09-04,,Active
259,M00259,Selin,Aydin,20,2,1,Referral,2025-01-16,2025-04-20,Cancelled
260,M00260,Arda,Demir,59,3,2,Corporate Partner,2024-10-16,,Active
261,M00261,Emre,Kurt,47,2,1,Organic Search,2025-10-02,,Active
262,M00262,Derya,Demir,22,3,4,Referral,2025-08-13,,Active
263,M00263,Deniz,Koc,47,3,3,Organic Search,2025-03-19,,Active
264,M00264,Elif,Yilmaz,30,3,3,Organic Search,2025-11-27,,Active
265,M00265,Ayse,Celik,47,3,4,Referral,2024-11-03,,Active
266,M00266,Selin,Sahin,38,2,2,Paid Search,2024-07-01,,Active
267,M00267,Derya,Kurt,28,4,3,Referral,2024-02-05,,Active
268,M00268,Can,Demir,46,1,1,Paid Search,2024-11-08,,Active
269,M00269,Emre,Yilmaz,49,4,2,Walk-in,2024-02-27,,Active
270,M00270,Emre,Arslan,64,1,3,Corporate Partner,2025-05-17,,Active
271,M00271,Emre,Ozdemir,46,2,1,Referral,2025-03-26,2026-01-22,Cancelled
272,M00272,Zeynep,Arslan,58,2,4,Organic Search,2024-12-15,,Active
273,M00273,Ayse,Demir,47,1,1,Organic Search,2025-05-03,,Active
274,M00274,Elif,Yilmaz,41,2,1,Instagram,2025-05-31,,Active
275,M00275,Mert,Sahin,36,3,2,Instagram,2024-06-08,,Active
276,M00276,Kerem,Arslan,62,2,3,Referral,2024-12-02,,Active
277,M00277,Kerem,Sahin,20,4,3,Organic Search,2026-06-17,,Active
278,M00278,Ceren,Sahin,46,3,1,Instagram,2024-05-30,,Active
279,M00279,Bora,Arslan,45,1,1,Referral,2024-07-27,,Active
280,M00280,Ceren,Kaya,53,3,3,Referral,2026-03-13,,Active
281,M00281,Elif,Kurt,51,3,4,Walk-in,2025-01-11,,Active
282,M00282,Can,Arslan,28,1,2,Instagram,2025-05-11,,Active
283,M00283,Derya,Ozdemir,38,1,3,Walk-in,2026-05-12,2026-07-26,Cancelled
284,M00284,Ceren,Kurt,44,3,4,Referral,2024-06-05,2026-05-11,Cancelled
285,M00285,Bora,Ozdemir,19,1,2,Paid Search,2024-04-19,,Active
286,M00286,Zeynep,Arslan,23,3,2,Organic Search,2024-09-12,,Active
287,M00287,Kerem,Celik,64,1,1,Referral,2024-12-05,2025-04-06,Cancelled
288,M00288,Ayse,Kaya,42,1,1,Organic Search,2024-08-02,,Active
289,M00289,Kerem,Sahin,28,2,3,Walk-in,2024-10-06,,Active
290,M00290,Elif,Yilmaz,29,3,3,Walk-in,2024-01-11,,Active
291,M00291,Ayse,Kurt,49,3,1,Corporate Partner,2024-12-17,,Active
292,M00292,Can,Yilmaz,51,3,1,Referral,2025-07-02,,Active
293,M00293,Derya,Kurt,44,3,1,Referral,2024-01-08,,Active
294,M00294,Arda,Kurt,44,3,1,Referral,2024-09-19,,Active
295,M00295,Ayse,Kurt,53,4,3,Instagram,2025-04-30,,Active
296,M00296,Mert,Sahin,29,2,3,Walk-in,2025-05-02,2025-07-03,Cancelled
297,M00297,Elif,Koc,33,2,2,Referral,2024-12-12,,Active
298,M00298,Deniz,Arslan,35,1,4,Referral,2024-11-06,,Active
299,M00299,Deniz,Ozdemir,37,3,4,Paid Search,2026-04-22,,Active
300,M00300,Bora,Kaya,21,3,3,Instagram,2024-06-17,2025-06-20,Cancelled
301,M00301,Can,Ozdemir,35,1,1,Walk-in,2025-02-16,,Active
302,M00302,Zeynep,Sahin,35,3,1,Referral,2024-05-01,2026-01-29,Cancelled
303,M00303,Kerem,Demir,39,1,4,Paid Search,2026-05-22,,Active
304,M00304,Ece,Celik,44,3,3,Corporate Partner,2024-02-10,,Active
305,M00305,Mert,Yilmaz,62,1,1,Corporate Partner,2024-03-14,,Active
306,M00306,Zeynep,Kurt,61,3,2,Referral,2026-04-14,,Active
307,M00307,Ayse,Aydin,41,2,2,Paid Search,2026-03-27,,Active
308,M00308,Ceren,Aydin,26,1,1,Walk-in,2025-04-26,,Active
309,M00309,Kerem,Celik,64,1,3,Organic Search,2026-02-21,2026-05-24,Cancelled
310,M00310,Zeynep,Arslan,53,3,1,Paid Search,2024-11-04,2025-01-06,Cancelled
311,M00311,Emre,Arslan,21,3,3,Corporate Partner,2025-03-04,,Active
312,M00312,Ceren,Aydin,54,2,4,Referral,2024-08-20,,Active
313,M00313,Elif,Sahin,48,2,3,Paid Search,2024-02-03,,Active
314,M00314,Bora,Aydin,56,4,1,Walk-in,2025-07-04,,Active
315,M00315,Emre,Aydin,42,3,3,Instagram,2025-05-13,,Active
316,M00316,Mert,Arslan,32,2,1,Organic Search,2024-12-28,,Active
317,M00317,Kerem,Yilmaz,43,3,2,Instagram,2024-08-01,,Active
318,M00318,Ayse,Kurt,48,1,3,Referral,2025-09-03,,Active
319,M00319,Emre,Ozdemir,47,3,1,Instagram,2025-07-30,2026-05-03,Cancelled
320,M00320,Ece,Sahin,58,1,2,Referral,2024-08-06,,Active
321,M00321,Elif,Koc,45,1,3,Organic Search,2025-01-24,,Active
322,M00322,Selin,Sahin,19,2,3,Paid Search,2025-02-11,,Active
323,M00323,Mert,Sahin,50,3,1,Organic Search,2025-05-12,,Active
324,M00324,Ayse,Kurt,28,2,3,Organic Search,2026-02-08,,Active
325,M00325,Ayse,Arslan,23,2,3,Organic Search,2024-09-08,,Active
326,M00326,Elif,Koc,53,1,3,Paid Search,2024-11-17,,Active
327,M00327,Ece,Yilmaz,24,2,1,Referral,2024-02-05,,Active
328,M00328,Elif,Ozdemir,39,3,3,Organic Search,2026-01-09,,Active
329,M00329,Deniz,Kaya,31,1,3,Organic Search,2024-08-11,,Active
330,M00330,Selin,Arslan,53,3,1,Referral,2025-12-27,2026-03-16,Cancelled
331,M00331,Emre,Aydin,26,1,1,Instagram,2025-09-26,2026-05-14,Cancelled
