member_id,member_code,member_name,location_name,plan_name,acquisition_channel,visits_last_61d,failed_payment,monthly_fee,risk_tier,recommended_action
291,M00291,Ayse Kurt,Sisli,Monthly Flex,Corporate Partner,0,1,64.0,Critical,Resolve payment and contact member
1097,M01097,Ceren Ozdemir,Atasehir,Annual,Paid Search,1,1,45.0,Critical,Resolve payment and contact member
413,M00413,Derya Aydin,Atasehir,Monthly Flex,Paid Search,2,1,64.0,Critical,Resolve payment and contact member
720,M00720,Mert Kaya,Besiktas,Monthly Flex,Paid Search,2,1,64.0,Critical,Resolve payment and contact member
322,M00322,Selin Sahin,Kadikoy,Annual,Paid Search,0,0,45.0,High,Launch re-engagement outreach
329,M00329,Deniz Kaya,Besiktas,Annual,Organic Search,1,0,45.0,High,Launch re-engagement outreach
392,M00392,Elif Koc,Besiktas,Annual,Instagram,1,0,45.0,High,Launch re-engagement outreach
441,M00441,Deniz Demir,Kadikoy,Quarterly,Referral,1,0,56.0,High,Launch re-engagement outreach
741,M00741,Ece Yilmaz,Besiktas,Monthly Flex,Paid Search,1,0,64.0,High,Launch re-engagement outreach
759,M00759,Can Arslan,Besiktas,Student,Walk-in,1,0,39.0,High,Launch re-engagement outreach
1006,M01006,Deniz Celik,Atasehir,Annual,Paid Search,1,0,45.0,High,Launch re-engagement outreach
64,M00064,Ece Aydin,Kadikoy,Student,Paid Search,2,0,39.0,High,Launch re-engagement outreach
71,M00071,Ayse Arslan,Atasehir,Quarterly,Corporate Partner,2,0,56.0,High,Launch re-engagement outreach
106,M00106,Kerem Kurt,Besiktas,Annual,Paid Search,2,0,45.0,High,Launch re-engagement outreach
209,M00209,Kerem Celik,Besiktas,Student,Referral,2,0,39.0,High,Launch re-engagement outreach
269,M00269,Emre Yilmaz,Atasehir,Quarterly,Walk-in,2,0,56.0,High,Launch re-engagement outreach
276,M00276,Kerem Arslan,Kadikoy,Annual,Referral,2,0,45.0,High,Launch re-engagement outreach
421,M00421,Bora Aydin,Besiktas,Monthly Flex,Paid Search,2,0,64.0,High,Launch re-engagement outreach
511,M00511,Ceren Aydin,Besiktas,Student,Organic Search,2,0,39.0,High,Launch re-engagement outreach
552,M00552,Kerem Kurt,Kadikoy,Annual,Organic Search,2,0,45.0,High,Launch re-engagement outreach
562,M00562,Kerem Yilmaz,Sisli,Student,Referral,2,0,39.0,High,Launch re-engagement outreach
576,M00576,Bora Kurt,Kadikoy,Monthly Flex,Paid Search,2,0,64.0,High,Launch re-engagement outreach
625,M00625,Ayse Yilmaz,Besiktas,Annual,Instagram,2,0,45.0,High,Launch re-engagement outreach
819,M00819,Zeynep Arslan,Kadikoy,Annual,Instagram,2,0,45.0,High,Launch re-engagement outreach
1029,M01029,Emre Kaya,Atasehir,Monthly Flex,Organic Search,2,0,64.0,High,Launch re-engagement outreach
1158,M01158,Kerem Kurt,Atasehir,Student,Walk-in,2,0,39.0,High,Launch re-engagement outreach
126,M00126,Can Ozdemir,Sisli,Monthly Flex,Instagram,3,1,64.0,High,Resolve payment and contact member
