customer_id,first_name,last_name,email,country_code,signup_date,status
C0001,Nora,Scott,nora.scott.1@example.com,GB,2025-03-27,active
C0002,Sofia,Young,sofia.young.2@example.com,TR,2025-06-18,active
C0003,Mia,Young,mia.young.3@example.com,GB,2025-04-20,active
C0004,Owen,Wright,owen.wright.4@example.com,CA,2025-12-31,active
C0005,Ella,Scott,ella.scott.5@example.com,GB,2026-02-06,active
C0006,Ethan,Scott,ethan.scott.6@example.com,DE,2026-06-16,active
C0007,Liam,Brown,liam.brown.7@example.com,CA,2026-06-15,active
C0008,Maya,Clark,maya.clark.8@example.com,GB,2025-05-28,active
C0009,Maya,Taylor,maya.taylor.9@example.com,US,2025-07-15,active
C0010,Sofia,Wilson,sofia.wilson.10@example.com,US,2025-01-29,active
C0011,Liam,Wright,liam.wright.11@example.com,US,2025-02-23,active
C0012,Ella,Martin,ella.martin.12@example.com,GB,2025-03-06,active
C0013,Noah,Clark,noah.clark.13@example.com,CA,2025-11-01,active
C0014,Noah,Wright,noah.wright.14@example.com,GB,2025-12-15,active
C0015,Mia,Hall,mia.hall.15@example.com,US,2026-05-08,active
C0016,Ethan,Young,ethan.young.16@example.com,US,2026-01-17,active
C0017,Mia,Wilson,mia.wilson.17@example.com,CA,2025-08-13,active
C0018,Owen,King,owen.king.18@example.com,DE,2025-01-26,active
C0019,Liam,Brown,liam.brown.19@example.com,TR,2026-06-18,active
C0020,Liam,Hall,liam.hall.20@example.com,GB,2025-09-13,active
C0021,Ava,Wilson,ava.wilson.21@example.com,TR,2026-03-29,active
C0022,Lucas,Brown,lucas.brown.22@example.com,DE,2025-04-20,active
C0023,Maya,Brown,maya.brown.23@example.com,GB,2025-03-31,active
C0024,Leo,Wright,leo.wright.24@example.com,CA,2025-01-20,active
C0025,Owen,King,owen.king.25@example.com,GB,2025-01-24,active
C0026,Ava,Martin,ava.martin.26@example.com,GB,2025-09-20,active
C0027,Nora,Young,nora.young.27@example.com,DE,2025-08-08,active
C0028,Ella,Clark,ella.clark.28@example.com,TR,2025-08-08,active
C0029,Ava,Taylor,ava.taylor.29@example.com,TR,2025-02-22,active
C0030,Nora,King,nora.king.30@example.com,GB,2026-03-20,active
C0031,Owen,Taylor,owen.taylor.31@example.com,US,2025-09-02,active
C0032,Nora,King,nora.king.32@example.com,CA,2025-05-19,active
C0033,Leo,Taylor,leo.taylor.33@example.com,GB,2025-08-17,active
C0034,Liam,Martin,liam.martin.34@example.com,CA,2026-03-04,active
C0035,Lucas,Scott,lucas.scott.35@example.com,DE,2026-03-30,active
C0036,Sofia,Taylor,sofia.taylor.36@example.com,CA,2026-02-14,active
C0037,Owen,King,owen.king.37@example.com,TR,2025-01-14,active
C0038,Lucas,Young,lucas.young.38@example.com,CA,2026-05-07,active
C0039,Liam,Wright,liam.wright.39@example.com,DE,2025-04-17,active
C0040,Lucas,Brown,lucas.brown.40@example.com,DE,2026-01-22,active
C0041,Liam,Wilson,liam.wilson.41@example.com,TR,2026-02-21,active
C0042,Lucas,Wilson,lucas.wilson.42@example.com,GB,2025-11-06,active
C0043,Ethan,Wright,ethan.wright.43@example.com,DE,2026-04-13,active
C0044,Ethan,Young,ethan.young.44@example.com,GB,2026-06-15,active
C0045,Ella,Wilson,ella.wilson.45@example.com,TR,2025-08-21,active
C0046,Nora,Taylor,nora.taylor.46@example.com,TR,2025-04-06,active
C0047,Ethan,Scott,ethan.scott.47@example.com,TR,2026-01-19,active
C0048,Sofia,Young,sofia.young.48@example.com,CA,2025-04-09,active
C0049,Mia,Wright,mia.wright.49@example.com,US,2025-12-04,active
C0050,Owen,Wright,owen.wright.50@example.com,US,2026-05-22,active
C0051,Lucas,Young,lucas.young.51@example.com,GB,2025-09-10,active
C0052,Nora,Clark,nora.clark.52@example.com,CA,2026-04-11,active
C0053,Ella,Martin,ella.martin.53@example.com,TR,2025-05-17,active
C0054,Ava,Martin,ava.martin.54@example.com,CA,2025-07-31,active
C0055,Sofia,Young,sofia.young.55@example.com,DE,2026-06-13,active
C0056,Maya,Young,maya.young.56@example.com,US,2025-05-21,active
C0057,Maya,Martin,maya.martin.57@example.com,CA,2025-09-29,active
C0058,Nora,Clark,nora.clark.58@example.com,GB,2025-03-05,active
C0059,Maya,Young,maya.young.59@example.com,US,2025-05-20,active
C0060,Nora,Wright,nora.wright.60@example.com,CA,2026-05-04,active
C0061,Leo,Martin,leo.martin.61@example.com,CA,2025-06-06,active
C0062,Noah,Clark,noah.clark.62@example.com,GB,2025-09-17,active
C0063,Leo,King,leo.king.63@example.com,US,2025-07-18,active
C0064,Ella,Taylor,ella.taylor.64@example.com,US,2025-08-30,active
C0065,Leo,Scott,leo.scott.65@example.com,CA,2025-07-04,active
C0066,Ella,Clark,ella.clark.66@example.com,TR,2025-07-31,active
C0067,Ella,Clark,ella.clark.67@example.com,CA,2026-06-20,active
C0068,Maya,Wright,maya.wright.68@example.com,DE,2025-07-13,active
C0069,Ethan,Scott,ethan.scott.69@example.com,DE,2025-10-27,active
C0070,Lucas,Martin,lucas.martin.70@example.com,DE,2025-02-23,active
C0071,Lucas,Wright,lucas.wright.71@example.com,CA,2026-02-26,active
C0072,Maya,Brown,maya.brown.72@example.com,DE,2026-05-19,active
C0073,Ella,Martin,ella.martin.73@example.com,US,2025-01-19,active
C0074,Owen,King,owen.king.74@example.com,DE,2025-12-28,active
C0075,Liam,Clark,liam.clark.75@example.com,TR,2025-10-01,active
C0076,Ava,Scott,ava.scott.76@example.com,US,2025-03-24,active
C0077,Noah,Wright,noah.wright.77@example.com,US,2025-02-27,active
C0078,Owen,Hall,owen.hall.78@example.com,CA,2026-06-16,active
C0079,Ava,Brown,ava.brown.79@example.com,US,2026-04-08,active
C0080,Leo,Young,leo.young.80@example.com,TR,2025-07-22,active
C0081,Liam,Wilson,liam.wilson.81@example.com,US,2026-02-26,active
C0082,Lucas,Brown,lucas.brown.82@example.com,US,2025-09-23,active
C0083,Ella,Brown,ella.brown.83@example.com,US,2025-11-02,active
C0084,Ella,Brown,ella.brown.84@example.com,DE,2025-02-08,active
C0085,Ethan,Wilson,ethan.wilson.85@example.com,CA,2025-01-04,active
C0086,Maya,Martin,maya.martin.86@example.com,CA,2026-02-26,active
C0087,Leo,Wright,leo.wright.87@example.com,TR,2025-06-11,active
C0088,Lucas,King,lucas.king.88@example.com,US,2025-12-30,active
C0089,Noah,Wright,noah.wright.89@example.com,US,2025-01-17,active
C0090,Ava,Scott,ava.scott.90@example.com,TR,2025-04-10,active
C0091,Sofia,Martin,sofia.martin.91@example.com,GB,2025-09-16,active
C0092,Maya,Wright,maya.wright.92@example.com,DE,2025-06-12,active
C0093,Liam,Taylor,liam.taylor.93@example.com,CA,2025-01-23,active
C0094,Maya,Scott,maya.scott.94@example.com,CA,2025-11-20,active
C0095,Lucas,Martin,lucas.martin.95@example.com,GB,2026-01-19,active
C0096,Mia,Hall,mia.hall.96@example.com,DE,2025-09-01,active
C0097,Liam,Martin,liam.martin.97@example.com,DE,2025-05-16,active
C0098,Noah,King,noah.king.98@example.com,DE,2025-04-13,active
C0099,Nora,Scott,nora.scott.99@example.com,TR,2025-05-13,active
C0100,Nora,Young,nora.young.100@example.com,TR,2025-08-18,active
C0101,Owen,King,bad-email-0,CA,2025-11-08,active
C0102,Noah,Taylor,bad-email-1,CA,2025-03-27,active
C0103,Maya,Brown,bad-email-2,GB,2026-02-26,active
C0104,Noah,Scott,bad-email-3,GB,2025-09-24,active
C0105,Maya,Hall,bad-email-4,CA,2025-07-30,active
C0106,Maya,Brown,bad-email-5,GB,2025-12-24,active
C0107,Ethan,Clark,bad-email-6,TR,2026-01-27,active
C0108,Liam,Young,liam.young.108@example.com,GB,2025-10-04,active
C0109,Noah,Taylor,noah.taylor.109@example.com,US,2026-01-19,active
C0110,Ava,Clark,ava.clark.110@example.com,DE,2026-05-20,active
C0111,Owen,Young,owen.young.111@example.com,CA,2026-03-19,active
C0112,Noah,Clark,noah.clark.112@example.com,US,2025-11-28,active
C0113,Liam,Clark,liam.clark.113@example.com,CA,2025-08-21,active
C0114,Ava,Hall,ava.hall.114@example.com,GB,2025-08-29,active
C0115,Lucas,Scott,lucas.scott.115@example.com,CA,2025-05-06,active
C0116,Sofia,King,sofia.king.116@example.com,US,2026-03-21,active
C0117,Maya,Young,maya.young.117@example.com,GB,2026-03-28,active
C0118,Nora,Wright,nora.wright.118@example.com,US,2025-07-03,active
C0119,Noah,Taylor,noah.taylor.119@example.com,DE,2025-05-23,active
C0120,Ethan,Brown,ethan.brown.120@example.com,DE,2026-03-07,active
C0121,Sofia,Scott,sofia.scott.121@example.com,CA,2026-02-22,active
C0122,Lucas,Hall,lucas.hall.122@example.com,CA,2025-09-26,active
C0123,Mia,Taylor,mia.taylor.123@example.com,CA,2025-01-23,active
C0124,Sofia,Hall,sofia.hall.124@example.com,GB,2025-02-02,active
C0125,Ethan,Brown,ethan.brown.125@example.com,TR,2025-07-17,active
C0126,Lucas,Clark,lucas.clark.126@example.com,GB,2026-04-18,active
C0127,Lucas,Wright,lucas.wright.127@example.com,GB,2026-05-10,active
C0128,Lucas,Clark,lucas.clark.128@example.com,GB,2025-03-16,active
C0129,Mia,Taylor,mia.taylor.129@example.com,TR,2025-08-27,active
C0130,Ella,Young,ella.young.130@example.com,CA,2025-05-04,active
C0131,,Hall,ethan.hall.131@example.com,DE,2026-05-22,active
C0132,,Young,sofia.young.132@example.com,DE,2025-02-13,active
C0133,,Young,owen.young.133@example.com,TR,2025-07-16,active
C0134,,Wilson,ethan.wilson.134@example.com,DE,2026-03-30,active
C0135,,Brown,sofia.brown.135@example.com,US,2025-12-28,active
C0136,,Taylor,nora.taylor.136@example.com,GB,2025-05-01,active
C0137,Nora,King,nora.king.137@example.com,US,2026-02-12,active
C0138,Nora,Young,nora.young.138@example.com,CA,2025-11-10,active
C0139,Noah,Brown,noah.brown.139@example.com,GB,2026-02-25,active
C0140,Ethan,Wright,ethan.wright.140@example.com,GB,2025-04-12,active
C0141,Ella,Martin,ella.martin.141@example.com,GB,2025-12-21,active
C0142,Ava,Taylor,ava.taylor.142@example.com,US,2025-08-19,active
C0143,Liam,Scott,liam.scott.143@example.com,US,2026-02-14,active
C0144,Noah,King,noah.king.144@example.com,DE,2025-05-16,active
C0145,Ethan,Brown,ethan.brown.145@example.com,CA,2025-10-27,active
C0146,Nora,Clark,nora.clark.146@example.com,US,2025-09-26,active
C0147,Liam,Wright,liam.wright.147@example.com,TR,2025-05-07,active
C0148,Ava,Young,ava.young.148@example.com,DE,2025-12-26,active
C0149,Sofia,Wilson,sofia.wilson.149@example.com,GB,2026-05-29,active
C0150,Ethan,King,ethan.king.150@example.com,DE,2025-03-16,active
C0151,Maya,Martin,maya.martin.151@example.com,XX,2025-05-17,active
C0152,Liam,Clark,liam.clark.152@example.com,XX,2025-08-23,active
C0153,Ethan,Hall,ethan.hall.153@example.com,XX,2025-08-30,active
C0154,Ava,Hall,ava.hall.154@example.com,XX,2025-07-07,active
C0155,Owen,Young,owen.young.155@example.com,XX,2025-09-01,active
C0156,Leo,Hall,leo.hall.156@example.com,DE,2025-08-03,active
C0157,Sofia,Brown,sofia.brown.157@example.com,US,2026-03-13,active
C0158,Maya,Scott,maya.scott.158@example.com,GB,2025-12-03,active
C0159,Mia,Scott,mia.scott.159@example.com,DE,2026-01-02,active
C0160,Leo,Young,leo.young.160@example.com,GB,2025-04-25,active
C0161,Mia,Martin,mia.martin.161@example.com,CA,2025-10-16,active
C0162,Lucas,King,lucas.king.162@example.com,CA,2025-12-21,active
C0163,Leo,Young,leo.young.163@example.com,TR,2025-08-11,active
C0164,Noah,Young,noah.young.164@example.com,CA,2025-05-28,active
C0165,Leo,Wright,leo.wright.165@example.com,DE,2026-05-17,active
C0166,Sofia,King,sofia.king.166@example.com,TR,2025-03-26,active
C0167,Ava,Young,ava.young.167@example.com,GB,2025-05-09,active
C0168,Ella,Taylor,ella.taylor.168@example.com,CA,2025-12-31,active
C0169,Noah,Wright,noah.wright.169@example.com,TR,2025-08-13,active
C0170,Mia,Martin,mia.martin.170@example.com,CA,2025-05-01,active
C0171,Ava,King,ava.king.171@example.com,TR,2027-01-10,active
C0172,Mia,Wright,mia.wright.172@example.com,DE,2027-01-11,active
C0173,Mia,Taylor,mia.taylor.173@example.com,CA,2027-01-12,active
C0174,Lucas,Young,lucas.young.174@example.com,DE,2027-01-13,active
C0175,Noah,Hall,noah.hall.175@example.com,GB,2025-08-20,active
C0176,Ava,Wilson,ava.wilson.176@example.com,DE,2025-05-22,active
C0177,Leo,Taylor,leo.taylor.177@example.com,CA,2025-05-03,active
C0178,Owen,Taylor,owen.taylor.178@example.com,DE,2025-06-05,active
C0179,Sofia,Wilson,sofia.wilson.179@example.com,TR,2025-10-12,active
C0180,Owen,Taylor,owen.taylor.180@example.com,CA,2025-07-19,active
C0181,Lucas,King,lucas.king.181@example.com,TR,2026-03-08,active
C0182,Maya,Clark,maya.clark.182@example.com,CA,2025-01-20,active
C0183,Owen,King,owen.king.183@example.com,GB,2025-09-26,active
C0184,Ella,Taylor,ella.taylor.184@example.com,TR,2025-07-03,active
C0185,Sofia,Martin,sofia.martin.185@example.com,GB,2025-03-07,active
C0186,Nora,Scott,nora.scott.186@example.com,US,2025-09-27,active
C0187,Sofia,Brown,sofia.brown.187@example.com,TR,2025-02-27,active
C0188,Mia,Scott,mia.scott.188@example.com,US,2025-09-06,active
C0189,Maya,Martin,maya.martin.189@example.com,CA,2025-03-26,active
C0190,Owen,Martin,owen.martin.190@example.com,DE,2026-04-16,active
C0191,Leo,Hall,leo.hall.191@example.com,US,2025-08-13,unknown
C0192,Liam,Taylor,liam.taylor.192@example.com,US,2025-01-21,unknown
C0193,Ethan,Wright,ethan.wright.193@example.com,CA,2025-11-29,unknown
C0194,Nora,Brown,nora.brown.194@example.com,DE,2026-02-18,unknown
C0195,Lucas,King,lucas.king.195@example.com,GB,2025-07-11,unknown
C0196,Lucas,Brown,lucas.brown.196@example.com,TR,2025-12-01,active
C0197,Liam,Wright,liam.wright.197@example.com,CA,2025-06-20,active
C0198,Liam,Young,liam.young.198@example.com,CA,2025-06-07,active
C0199,Lucas,Brown,lucas.brown.199@example.com,US,2025-03-26,active
C0200,Sofia,Taylor,sofia.taylor.200@example.com,CA,2026-01-12,active
C0201,Owen,Wilson,owen.wilson.201@example.com,GB,2025-10-04,active
C0202,Ella,Scott,ella.scott.202@example.com,CA,2025-09-22,active
C0203,Owen,Clark,owen.clark.203@example.com,TR,2025-11-05,active
C0204,Lucas,Clark,lucas.clark.204@example.com,DE,2025-10-24,active
C0205,Nora,Young,nora.young.205@example.com,DE,2025-02-20,active
C0206,Owen,King,owen.king.206@example.com,GB,2026-04-25,active
C0207,Noah,Clark,noah.clark.207@example.com,TR,2025-03-23,active
C0208,Owen,King,owen.king.208@example.com,CA,2026-05-19,active
C0209,Lucas,King,lucas.king.209@example.com,CA,2026-05-02,active
C0210,Noah,Martin,noah.martin.210@example.com,DE,2025-02-19,active
C0211,Ethan,Brown,ethan.brown.211@example.com,CA,2025-08-11,active
C0212,Liam,Wright,liam.wright.212@example.com,TR,2025-10-09,active
C0213,Liam,Hall,liam.hall.213@example.com,GB,2025-02-13,active
C0214,Maya,Brown,maya.brown.214@example.com,DE,2025-09-14,active
C0215,Nora,Scott,nora.scott.215@example.com,US,2025-07-30,active
C0216,Maya,Scott,maya.scott.216@example.com,US,2025-03-06,active
C0217,Nora,Young,nora.young.217@example.com,GB,2026-02-19,active
C0218,Nora,Scott,nora.scott.218@example.com,GB,2025-10-07,active
C0219,Ella,Wilson,ella.wilson.219@example.com,TR,2025-12-17,active
C0220,Nora,Young,nora.young.220@example.com,DE,2026-03-05,active
C0221,Ava,Young,ava.young.221@example.com,TR,2025-06-18,active
C0222,Noah,Hall,noah.hall.222@example.com,CA,2025-11-25,active
C0223,Leo,Brown,leo.brown.223@example.com,CA,2025-08-14,active
C0224,Mia,Wright,mia.wright.224@example.com,US,2025-04-04,active
C0225,Ella,King,ella.king.225@example.com,US,2026-06-11,active
C0226,Nora,Taylor,nora.taylor.226@example.com,GB,2026-02-05,active
C0227,Mia,Wright,mia.wright.227@example.com,US,2025-10-18,active
C0228,Ethan,Young,ethan.young.228@example.com,US,2025-12-05,active
C0229,Mia,King,mia.king.229@example.com,DE,2025-01-25,active
C0230,Noah,Hall,noah.hall.230@example.com,TR,2025-10-02,active
C0231,Leo,King,leo.king.231@example.com,GB,2026-01-12,active
C0232,Ava,Wright,ava.wright.232@example.com,GB,2025-04-06,active
C0233,Ethan,Brown,ethan.brown.233@example.com,TR,2026-01-17,active
C0234,Sofia,Wright,sofia.wright.234@example.com,CA,2026-02-12,active
C0235,Owen,Wright,owen.wright.235@example.com,GB,2026-04-15,active
C0236,Maya,Martin,maya.martin.236@example.com,US,2025-03-05,active
C0237,Leo,Taylor,leo.taylor.237@example.com,TR,2025-08-09,active
C0238,Ethan,Scott,ethan.scott.238@example.com,US,2025-02-26,active
C0239,Mia,Scott,mia.scott.239@example.com,CA,2025-04-16,active
C0240,Lucas,Scott,lucas.scott.240@example.com,GB,2025-04-14,active
C0241,Nora,Martin,nora.martin.241@example.com,TR,2025-07-21,active
C0242,Sofia,Young,sofia.young.242@example.com,TR,2025-12-10,active
C0243,Owen,Brown,owen.brown.243@example.com,TR,2026-05-24,active
C0244,Noah,Clark,noah.clark.244@example.com,CA,2026-03-12,active
C0245,Ethan,Martin,ethan.martin.245@example.com,CA,2025-06-18,active
C0246,Sofia,Martin,sofia.martin.246@example.com,TR,2025-11-06,active
C0247,Sofia,Brown,sofia.brown.247@example.com,GB,2025-08-22,active
C0248,Lucas,Wilson,lucas.wilson.248@example.com,TR,2025-03-09,active
C0249,Mia,Wright,mia.wright.249@example.com,US,2025-06-12,active
C0250,Sofia,Young,sofia.young.250@example.com,DE,2025-07-29,active
C0251,Mia,Wilson,mia.wilson.251@example.com,US,2025-12-01,active
C0252,Maya,Scott,maya.scott.252@example.com,DE,2025-03-03,active
C0253,Ava,Brown,ava.brown.253@example.com,US,2025-01-07,active
C0254,Ethan,Young,ethan.young.254@example.com,CA,2026-03-10,active
C0255,Ava,Hall,ava.hall.255@example.com,TR,2025-03-12,active
C0256,Leo,Taylor,leo.taylor.256@example.com,DE,2025-10-10,active
C0257,Sofia,Martin,sofia.martin.257@example.com,US,2025-10-26,active
C0258,Liam,King,liam.king.258@example.com,DE,2025-09-23,active
C0259,Sofia,Martin,sofia.martin.259@example.com,DE,2026-06-15,active
C0260,Noah,King,noah.king.260@example.com,TR,2025-07-15,active
C0261,Ella,Scott,ella.scott.261@example.com,TR,2025-09-04,active
C0262,Leo,Young,leo.young.262@example.com,DE,2025-06-09,active
C0263,Mia,Wright,mia.wright.263@example.com,CA,2025-08-20,active
C0264,Nora,Taylor,nora.taylor.264@example.com,US,2025-02-07,active
