invoice_id,month,property_id,property_name,district,manager,unit_id,tenant_id,tenant_name,due_date,rent_billed,amount_paid,balance,paid_date,payment_status,days_late,aging_bucket
"INV-00001","2026-01","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-01-05","1375","1375","0","2026-01-08","Paid","3","Current"
"INV-00002","2026-02","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-02-05","1375","1375","0","2026-02-02","Paid","0","Current"
"INV-00003","2026-03","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-03-05","1375","1375","0","2026-03-08","Paid","3","Current"
"INV-00004","2026-04","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-04-05","1375","1375","0","2026-04-23","Paid Late","18","Current"
"INV-00005","2026-05","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-05-05","1375","1375","0","2026-05-08","Paid","3","Current"
"INV-00006","2026-06","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-06-05","1375","1375","0","2026-06-04","Paid","0","Current"
"INV-00007","2026-07","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-07-05","1375","1375","0","2026-07-10","Paid","5","Current"
"INV-00008","2026-08","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-08-05","1375","838","537","2026-08-18","Partial","148","90+ Days"
"INV-00009","2026-09","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-09-05","1375","1375","0","2026-09-20","Paid Late","15","Current"
"INV-00010","2026-10","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-10-05","1375","1375","0","2026-10-07","Paid","2","Current"
"INV-00011","2026-11","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-11-05","1375","1375","0","2026-11-04","Paid","0","Current"
"INV-00012","2026-12","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U01","T001","Zeynep Koc","2026-12-05","1375","487","888","2026-12-23","Partial","26","1-30 Days"
"INV-00013","2026-01","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-01-05","1475","1475","0","2026-01-06","Paid","1","Current"
"INV-00014","2026-02","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-02-05","1475","1475","0","2026-02-06","Paid","1","Current"
"INV-00015","2026-03","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-03-05","1475","1475","0","2026-03-05","Paid","0","Current"
"INV-00016","2026-04","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-04-05","1475","1475","0","2026-04-10","Paid","5","Current"
"INV-00017","2026-05","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-05-05","1475","1475","0","2026-05-11","Paid","6","Current"
"INV-00018","2026-06","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-06-05","1475","1475","0","2026-06-18","Paid Late","13","Current"
"INV-00019","2026-07","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-07-05","1475","1475","0","2026-07-08","Paid","3","Current"
"INV-00020","2026-08","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-08-05","1475","1475","0","2026-08-04","Paid","0","Current"
"INV-00021","2026-09","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-09-05","1475","1475","0","2026-09-04","Paid","0","Current"
"INV-00022","2026-10","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-10-05","1475","1475","0","2026-10-10","Paid","5","Current"
"INV-00023","2026-11","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-11-05","1475","1475","0","2026-11-16","Paid Late","11","Current"
"INV-00024","2026-12","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U02","T002","Deniz Celik","2026-12-05","1475","1475","0","2026-12-10","Paid","5","Current"
"INV-00025","2026-01","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-01-05","1450","563","887","2026-01-21","Partial","360","90+ Days"
"INV-00026","2026-02","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-02-05","1450","1450","0","2026-02-02","Paid","0","Current"
"INV-00027","2026-03","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-03-05","1450","1450","0","2026-03-06","Paid","1","Current"
"INV-00028","2026-04","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-04-05","1450","1450","0","2026-04-11","Paid Late","6","Current"
"INV-00029","2026-05","P01","Harbor Point","Kadikoy","Aylin Kaya","P01-U03","T003","Derya Aydin","2026-05-05","1450","1450","0","2026-05-22","Paid Late","17","Current"
