unit_id,property_id,unit_number,bedrooms,monthly_rent,occupancy_status,tenant_id,tenant_name,email,lease_start,lease_end
"P01-U01","P01","1","1","1375","Occupied","T001","Zeynep Koc","zeynep.koc.t001@example.com","2025-11-01","2026-10-31"
"P01-U02","P01","2","1","1475","Occupied","T002","Deniz Celik","deniz.celik.t002@example.com","2025-11-01","2026-10-31"
"P01-U03","P01","3","2","1450","Occupied","T003","Derya Aydin","derya.aydin.t003@example.com","2025-11-01","2026-10-31"
"P01-U04","P01","4","1","1575","Occupied","T004","Derya Aydin","derya.aydin.t004@example.com","2025-11-01","2026-10-31"
"P01-U05","P01","5","1","1525","Occupied","T005","Aylin Kaya","aylin.kaya.t005@example.com","2025-11-01","2026-10-31"
"P01-U06","P01","6","2","1525","Occupied","T006","Mert Koc","mert.koc.t006@example.com","2025-11-01","2026-10-31"
"P01-U07","P01","7","1","1625","Vacant","","","","",""
"P01-U08","P01","8","1","1600","Occupied","T007","Mert Aydin","mert.aydin.t007@example.com","2025-11-01","2026-10-31"
"P02-U01","P02","1","1","1475","Vacant","","","","",""
"P02-U02","P02","2","1","1550","Occupied","T008","Ece Arslan","ece.arslan.t008@example.com","2025-11-01","2026-10-31"
"P02-U03","P02","3","2","1550","Occupied","T009","Kerem Aksoy","kerem.aksoy.t009@example.com","2025-11-01","2026-10-31"
"P02-U04","P02","4","1","1700","Occupied","T010","Mert Koc","mert.koc.t010@example.com","2025-11-01","2026-10-31"
"P02-U05","P02","5","1","1625","Occupied","T011","Can Kaya","can.kaya.t011@example.com","2025-11-01","2026-10-31"
"P02-U06","P02","6","2","1650","Occupied","T012","Burak Arslan","burak.arslan.t012@example.com","2025-11-01","2026-10-31"
"P02-U07","P02","7","1","1800","Occupied","T013","Ece Koc","ece.koc.t013@example.com","2025-11-01","2026-10-31"
"P02-U08","P02","8","1","1800","Occupied","T014","Can Kaya","can.kaya.t014@example.com","2025-11-01","2026-10-31"
"P03-U01","P03","1","1","1325","Occupied","T015","Selin Kaya","selin.kaya.t015@example.com","2025-11-01","2026-10-31"
"P03-U02","P03","2","1","1400","Occupied","T016","Burak Celik","burak.celik.t016@example.com","2025-11-01","2026-10-31"
"P03-U03","P03","3","2","1400","Occupied","T017","Derya Polat","derya.polat.t017@example.com","2025-11-01","2026-10-31"
"P03-U04","P03","4","1","1550","Occupied","T018","Ece Kaya","ece.kaya.t018@example.com","2025-11-01","2026-10-31"
"P03-U05","P03","5","1","1450","Occupied","T019","Deniz Aksoy","deniz.aksoy.t019@example.com","2025-11-01","2026-10-31"
"P03-U06","P03","6","2","1625","Occupied","T020","Zeynep Demir","zeynep.demir.t020@example.com","2025-11-01","2026-10-31"
"P03-U07","P03","7","1","1625","Occupied","T021","Deniz Arslan","deniz.arslan.t021@example.com","2025-11-01","2026-10-31"
"P03-U08","P03","8","1","1575","Occupied","T022","Mert Koc","mert.koc.t022@example.com","2025-11-01","2026-10-31"
"P04-U01","P04","1","1","1200","Occupied","T023","Aylin Aydin","aylin.aydin.t023@example.com","2025-11-01","2026-10-31"
"P04-U02","P04","2","1","1325","Occupied","T024","Derya Yilmaz","derya.yilmaz.t024@example.com","2025-11-01","2026-10-31"
"P04-U03","P04","3","2","1300","Occupied","T025","Can Koc","can.koc.t025@example.com","2025-11-01","2026-10-31"
"P04-U04","P04","4","1","1425","Occupied","T026","Ece Celik","ece.celik.t026@example.com","2025-11-01","2026-10-31"
"P04-U05","P04","5","1","1350","Occupied","T027","Derya Demir","derya.demir.t027@example.com","2025-11-01","2026-10-31"
"P04-U06","P04","6","2","1375","Occupied","T028","Zeynep Arslan","zeynep.arslan.t028@example.com","2025-11-01","2026-10-31"
"P04-U07","P04","7","1","1550","Occupied","T029","Aylin Demir","aylin.demir.t029@example.com","2025-11-01","2026-10-31"
"P04-U08","P04","8","1","1575","Occupied","T030","Can Yilmaz","can.yilmaz.t030@example.com","2025-11-01","2026-10-31"
"P05-U01","P05","1","1","1475","Occupied","T031","Kerem Aydin","kerem.aydin.t031@example.com","2025-11-01","2026-10-31"
"P05-U02","P05","2","1","1400","Occupied","T032","Burak Arslan","burak.arslan.t032@example.com","2025-11-01","2026-10-31"
"P05-U03","P05","3","2","1525","Occupied","T033","Kerem Aydin","kerem.aydin.t033@example.com","2025-11-01","2026-10-31"
"P05-U04","P05","4","1","1550","Occupied","T034","Kerem Yilmaz","kerem.yilmaz.t034@example.com","2025-11-01","2026-10-31"
"P05-U05","P05","5","1","1600","Occupied","T035","Elif Sahin","elif.sahin.t035@example.com","2025-11-01","2026-10-31"
"P05-U06","P05","6","2","1600","Occupied","T036","Mert Sahin","mert.sahin.t036@example.com","2025-11-01","2026-10-31"
"P05-U07","P05","7","1","1625","Occupied","T037","Kerem Demir","kerem.demir.t037@example.com","2025-11-01","2026-10-31"
"P05-U08","P05","8","1","1625","Vacant","","","","",""
"P06-U01","P06","1","1","1600","Vacant","","","","",""
"P06-U02","P06","2","1","1650","Occupied","T038","Selin Kaya","selin.kaya.t038@example.com","2025-11-01","2026-10-31"
"P06-U03","P06","3","2","1675","Occupied","T039","Ece Aydin","ece.aydin.t039@example.com","2025-11-01","2026-10-31"
"P06-U04","P06","4","1","1750","Occupied","T040","Kerem Aksoy","kerem.aksoy.t040@example.com","2025-11-01","2026-10-31"
"P06-U05","P06","5","1","1750","Occupied","T041","Kerem Yilmaz","kerem.yilmaz.t041@example.com","2025-11-01","2026-10-31"
"P06-U06","P06","6","2","1675","Occupied","T042","Selin Polat","selin.polat.t042@example.com","2025-11-01","2026-10-31"
"P06-U07","P06","7","1","1725","Occupied","T043","Aylin Polat","aylin.polat.t043@example.com","2025-11-01","2026-10-31"
"P06-U08","P06","8","1","1850","Occupied","T044","Selin Sahin","selin.sahin.t044@example.com","2025-11-01","2026-10-31"
"P07-U01","P07","1","1","1325","Occupied","T045","Derya Demir","derya.demir.t045@example.com","2025-11-01","2026-10-31"
"P07-U02","P07","2","1","1375","Occupied","T046","Deniz Sahin","deniz.sahin.t046@example.com","2025-11-01","2026-10-31"
"P07-U03","P07","3","2","1500","Vacant","","","","",""
"P07-U04","P07","4","1","1400","Occupied","T047","Ece Aydin","ece.aydin.t047@example.com","2025-11-01","2026-10-31"
"P07-U05","P07","5","1","1450","Occupied","T048","Emre Celik","emre.celik.t048@example.com","2025-11-01","2026-10-31"
"P07-U06","P07","6","2","1475","Occupied","T049","Aylin Koc","aylin.koc.t049@example.com","2025-11-01","2026-10-31"
"P07-U07","P07","7","1","1650","Occupied","T050","Can Aydin","can.aydin.t050@example.com","2025-11-01","2026-10-31"
"P07-U08","P07","8","1","1700","Occupied","T051","Kerem Kaya","kerem.kaya.t051@example.com","2025-11-01","2026-10-31"
"P08-U01","P08","1","1","1275","Occupied","T052","Ece Aydin","ece.aydin.t052@example.com","2025-11-01","2026-10-31"
"P08-U02","P08","2","1","1325","Occupied","T053","Zeynep Yilmaz","zeynep.yilmaz.t053@example.com","2025-11-01","2026-10-31"
"P08-U03","P08","3","2","1250","Occupied","T054","Selin Aydin","selin.aydin.t054@example.com","2025-11-01","2026-10-31"
