customer_id,full_name,email,signup_date,country,status,lifetime_value
C-0001,Mia Brown,mia.brown1@example.com,2025-01-25,United States,Prospect,4493.87
C-0002,Noah Wilson,noah.wilson2@example.com,2025-03-23,United States,Inactive,1226.31
C-0003,Lucas Kaya,lucas.kaya3@example.com,2026-07-20,Türkiye,Prospect,3304.42
C-0004,Ada Clark,ada.clark4@example.com,2025-01-22,Türkiye,Active,1202.60
C-0005,Mia Martin,mia.martin5@example.com,2026-06-28,France,Active,3487.31
C-0006,Ethan Clark,ethan.clark6@example.com,2025-12-09,Türkiye,Inactive,846.34
C-0007,Emma Kaya,emma.kaya7@example.com,2025-10-14,United States,Inactive,3010.40
C-0008,Ada Wilson,ada.wilson8@example.com,2026-06-29,United Kingdom,Prospect,1898.85
C-0009,Sofia Taylor,sofia.taylor9@example.com,2026-02-24,United States,Inactive,2981.28
C-0010,Lucas Wilson,lucas.wilson10@example.com,2026-02-11,France,Prospect,132.91
C-0011,Emma Taylor,emma.taylor11@example.com,2026-06-24,Germany,Inactive,3413.81
C-0012,Noah Martin,noah.martin12@example.com,2026-03-31,Türkiye,Active,461.60
C-0013,Liam Taylor,liam.taylor13@example.com,2025-09-02,Germany,Active,50.27
C-0014,Mia Stone,mia.stone14@example.com,2026-07-14,Türkiye,Inactive,1584.14
C-0015,Liam Miller,liam.miller15@example.com,2025-02-07,France,Prospect,2418.83
C-0016,Liam Martin,liam.martin16@example.com,2025-02-23,United States,Prospect,1860.14
C-0017,Oliver Stone,oliver.stone17@example.com,2025-05-03,United States,Prospect,3190.20
C-0018,Sofia Miller,sofia.miller18@example.com,2026-05-03,Türkiye,Active,315.07
C-0019,Lucas Demir,lucas.demir19@example.com,2025-05-03,Türkiye,Prospect,857.00
C-0020,Noah Wilson,noah.wilson20@example.com,2025-04-10,France,Inactive,2837.99
C-0021,Sofia Kaya,sofia.kaya21@example.com,2025-02-12,Türkiye,Prospect,4352.76
C-0022,Noah Brown,noah.brown22@example.com,2026-07-02,United States,Active,2200.13
C-0023,Ada Demir,ada.demir23@example.com,2025-04-10,United Kingdom,Inactive,2125.42
C-0024,Ethan Martin,ethan.martin24@example.com,2026-06-22,Türkiye,Prospect,191.50
C-0025,Ada Brown,ada.brown25@example.com,2025-07-28,United States,Prospect,2864.92
C-0026,Leyla Miller,leyla.miller26@example.com,2025-09-17,United States,Inactive,4004.04
C-0027,Noah Clark,noah.clark27@example.com,2025-06-11,France,Inactive,4004.55
C-0028,Ada Stone,ada.stone28@example.com,2026-05-26,United States,Inactive,2724.42
C-0029,Ada Demir,ada.demir29@example.com,2025-01-05,Germany,Prospect,2851.32
C-0030,Liam Miller,liam.miller30@example.com,2026-07-02,Türkiye,Inactive,646.51
C-0031,Ada Yilmaz,ada.yilmaz31@example.com,2025-04-20,France,Prospect,3810.39
C-0032,Ethan Demir,ethan.demir32@example.com,2026-06-10,United Kingdom,Prospect,863.80
C-0033,Mia Wilson,mia.wilson33@example.com,2026-06-07,United States,Prospect,3141.05
